lev      x           d          u          P
  7  5.00000E-03  3.111E-02  2.987E-03  1.616E-01
  7  1.50000E-02  3.112E-02  8.960E-03  1.616E-01
  7  2.50000E-02  3.113E-02  1.494E-02  1.616E-01
  7  3.50000E-02  3.117E-02  2.091E-02  1.616E-01
  7  4.50000E-02  3.124E-02  2.690E-02  1.616E-01
  7  5.50000E-02  3.134E-02  3.289E-02  1.616E-01
  7  6.50000E-02  3.149E-02  3.889E-02  1.616E-01
  7  7.50000E-02  3.170E-02  4.489E-02  1.616E-01
  7  8.50000E-02  3.198E-02  5.091E-02  1.616E-01
  7  9.50000E-02  3.236E-02  5.693E-02  1.617E-01
  7  1.05000E-01  3.287E-02  6.296E-02  1.617E-01
  7  1.15000E-01  3.355E-02  6.900E-02  1.617E-01
  7  1.25000E-01  3.445E-02  7.504E-02  1.617E-01
  7  1.35000E-01  3.565E-02  8.109E-02  1.617E-01
  7  1.45000E-01  3.722E-02  8.715E-02  1.617E-01
  7  1.55000E-01  3.925E-02  9.321E-02  1.618E-01
  7  1.65000E-01  4.184E-02  9.927E-02  1.618E-01
  7  1.75000E-01  4.507E-02  1.053E-01  1.618E-01
  7  1.85000E-01  4.904E-02  1.114E-01  1.618E-01
  7  1.95000E-01  5.381E-02  1.174E-01  1.619E-01
  7  2.05000E-01  5.945E-02  1.235E-01  1.619E-01
  7  2.15000E-01  6.599E-02  1.295E-01  1.620E-01
  7  2.25000E-01  7.347E-02  1.355E-01  1.620E-01
  7  2.35000E-01  8.189E-02  1.415E-01  1.621E-01
  7  2.45000E-01  9.123E-02  1.475E-01  1.622E-01
  7  2.55000E-01  1.015E-01  1.535E-01  1.623E-01
  7  2.65000E-01  1.126E-01  1.595E-01  1.624E-01
  7  2.75000E-01  1.246E-01  1.654E-01  1.625E-01
  7  2.85000E-01  1.374E-01  1.714E-01  1.627E-01
  7  2.95000E-01  1.509E-01  1.774E-01  1.628E-01
  7  3.05000E-01  1.651E-01  1.834E-01  1.630E-01
  7  3.15000E-01  1.801E-01  1.894E-01  1.632E-01
  7  3.25000E-01  1.957E-01  1.954E-01  1.635E-01
  7  3.35000E-01  2.121E-01  2.015E-01  1.638E-01
  7  3.45000E-01  2.291E-01  2.076E-01  1.641E-01
  7  3.55000E-01  2.469E-01  2.137E-01  1.644E-01
  7  3.65000E-01  2.654E-01  2.198E-01  1.648E-01
  7  3.75000E-01  2.848E-01  2.260E-01  1.652E-01
  7  3.85000E-01  3.050E-01  2.322E-01  1.656E-01
  7  3.95000E-01  3.261E-01  2.384E-01  1.661E-01
  7  4.05000E-01  3.482E-01  2.446E-01  1.666E-01
  7  4.15000E-01  3.714E-01  2.509E-01  1.672E-01
  7  4.25000E-01  3.957E-01  2.572E-01  1.678E-01
  7  4.35000E-01  4.214E-01  2.635E-01  1.685E-01
  7  4.45000E-01  4.484E-01  2.699E-01  1.693E-01
  7  4.55000E-01  4.769E-01  2.763E-01  1.701E-01
  7  4.65000E-01  5.070E-01  2.827E-01  1.710E-01
  7  4.75000E-01  5.388E-01  2.892E-01  1.719E-01
  7  4.85000E-01  5.725E-01  2.957E-01  1.730E-01
  7  4.95000E-01  6.081E-01  3.022E-01  1.741E-01
  7  5.05000E-01  6.459E-01  3.088E-01  1.753E-01
  7  5.15000E-01  6.859E-01  3.155E-01  1.767E-01
  7  5.25000E-01  7.284E-01  3.222E-01  1.782E-01
  7  5.35000E-01  7.735E-01  3.291E-01  1.798E-01
  7  5.45000E-01  8.213E-01  3.359E-01  1.816E-01
  7  5.55000E-01  8.719E-01  3.428E-01  1.836E-01
  7  5.65000E-01  9.255E-01  3.497E-01  1.857E-01
  7  5.75000E-01  9.821E-01  3.566E-01  1.879E-01
  7  5.85000E-01  1.042E+00  3.636E-01  1.903E-01
  7  5.95000E-01  1.105E+00  3.707E-01  1.928E-01
  7  6.05000E-01  1.173E+00  3.779E-01  1.956E-01
  7  6.15000E-01  1.245E+00  3.853E-01  1.986E-01
  7  6.25000E-01  1.322E+00  3.927E-01  2.019E-01
  7  6.35000E-01  1.404E+00  4.003E-01  2.055E-01
  7  6.45000E-01  1.492E+00  4.080E-01  2.093E-01
  7  6.55000E-01  1.586E+00  4.158E-01  2.135E-01
  7  6.65000E-01  1.687E+00  4.238E-01  2.181E-01
  7  6.75000E-01  1.796E+00  4.318E-01  2.230E-01
  7  6.85000E-01  1.913E+00  4.400E-01  2.283E-01
  7  6.95000E-01  2.040E+00  4.482E-01  2.342E-01
  7  7.05000E-01  2.178E+00  4.567E-01  2.405E-01
  7  7.15000E-01  2.327E+00  4.652E-01  2.473E-01
  7  7.25000E-01  2.489E+00  4.739E-01  2.547E-01
  7  7.35000E-01  2.665E+00  4.827E-01  2.627E-01
  7  7.45000E-01  2.858E+00  4.916E-01  2.715E-01
  7  7.55000E-01  3.070E+00  5.008E-01  2.811E-01
  7  7.65000E-01  3.303E+00  5.102E-01  2.917E-01
  7  7.75000E-01  3.557E+00  5.194E-01  3.029E-01
  7  7.85000E-01  3.828E+00  5.280E-01  3.141E-01
  7  7.95000E-01  4.140E+00  5.378E-01  3.278E-01
  7  8.05000E-01  4.549E+00  5.521E-01  3.494E-01
  7  8.15000E-01  4.975E+00  5.642E-01  3.698E-01
  7  8.25000E-01  5.098E+00  5.630E-01  3.691E-01
  7  8.35000E-01  4.685E+00  5.170E-01  3.005E-01
  7  8.45000E-01  2.198E+00  2.651E-01  7.624E-02
  7  8.55000E-01  1.027E+00  3.728E-03  1.650E-04
  7  8.65000E-01  1.000E+00  2.014E-09  1.000E-05
  7  8.75000E-01  1.000E+00  1.198E-16  1.000E-05
  7  8.85000E-01  1.000E+00  0.000E+00  1.000E-05
  7  8.95000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.05000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.15000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.25000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.35000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.45000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.55000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.65000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.75000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.85000E-01  1.000E+00  0.000E+00  1.000E-05
  7  9.95000E-01  1.000E+00  0.000E+00  1.000E-05
